Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality,Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Transformation,Volition
Punctual,Unspecified,Unspecified,Core Addressee,Apprehensive,Positive,Support,Addition,Unspecified,Direct,Unspecified,Unspecified,Inequality,Unspecified,Failed expectation,Unspecified,Approximate,Minimizer: Absence,Sequence,High degree of certainty,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Volume,Unspecified,Absence,Subject substitution,Unspecified,Inchoative,Alternation,Unspecified,Attenuated prohibitive,Unspecified,Universal,Surprise,Unspecified,Antiresultative,Necessity: Internal,Kind wishes,Naming,Unspecified,Expressing opinion,Path: Source,Unspecified,Preceding action,Temporal boundary,Behavior,Distant past,Unspecified,Unspecified,Unspecified
Gradual development,,,Audience,Preventive,Negative,Dissatisfaction,Subtraction,,Indirect,,,Equality,,Compensation,,Exact,Minimizer: Low,Clarification,Low degree of certainty,,,,,,Weight,,Unaffected generally,Non-standard subject marking,,Continuative,Frequentative,,Continuative prohibitive,,Universal: Free Choice,Disagreement,,Conative,Necessity: External,Thanks,Essence,,Asking for opinion,Path: Goal,,Simultaneous action,Time period,Physical state,Recent past,,,
Cumulative,,,Beneficiary,"Apprehensive, Preventive","Positive, Negative",Disapproval,Division,,,,,Similarity,,Limitation,,,Diminisher,Exеmplification,,,,,,,Size,,Unaffected small portion,,,Terminative,Raritive,,Prohibitive,,Existential,Agreement,,Unspecified,Possibility,Greeting,Paragon,,,Path: Route,,Subsequent action,Proper time,Emotional state,Past,,,
Saturative,,,Maleficiary,,,Regret,Multiplication,,,,,Contrast,,Extreme limit,,,Approximator,Emphasis,,,,,,,Age,,Disappear,,,Cunctative,Discontinuative,,"Continuative prohibitive, Prohibitive",,Existential: Free Choice,Evidence,,,Permission,Parting,Personal interests,,,Location,,,Clock,Sircumstances,Present,,,
Multiplicative,,,,,,Acceptance of the situation,Exponentiation,,,,,Imitation,,Disagreement,,,Booster,Topic,,,,,,,Money,,,,,,Iterative,,,,Proportional,Warning,,,,Apology,Matching the standard,,,"Path: Source, Path: Goal",,,,Control,Future,,,
Attenuative,,,,,,Disillusion,Radical expression,,,,,"Contrast, Similarity",,At least,,,Maximizer,Topic change,,,,,,,Dimensions,,,,,,Habitual,,,,Value judgment quantifier,Unspecified,,,,Conversation support,Belonging to a class,,,"Location, Path: Source",,,,Importance,Near Future,,,
Distributive,,,,,,Skepticism,Equation,,,,,,,Imitative agreement,,,"Approximator, Maximizer",Summary,,,,,,,Square area,,,,,,,,,,,"Agreement, Disagreement",,,,Swearing,Repeatedly the same,,,"Location, Path: Goal, Path: Source",,,,Relevance,Distant Future,,,
,,,,,,Confidence about knowledge,Fraction,,,,,,,Unspecified,,,,Discourse additive,,,,,,,Distance,,,,,,,,,,,,,,,Curse,Characteristics through specification,,,,,,,Appropriateness,,,,
,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,Speed,,,,,,,,,,,,,,,,Status,,,,,,,Availability,,,,
,,,,,,Preferences,,,,,,,,,,,,,,,,,,,Time,,,,,,,,,,,,,,,,Capacity for an activity,,,,,,,Matching the norm,,,,
